sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,disj_count,pos_onehot,mean_dep_length,conj_count,max_dep_length,token_count,verb_count,min_dep_length,class_score,flesh_reading_ease,is_sent,big_np_count,big_pp_count,tree,Unnamed: 0,amr_length,doc,mean_chars_per_word,num_nouns,num_verbs,num_adjs,num_advs,num_punct,num_adps,num_conjs,num_det,num_pron,num_num,num_part,num_sym,num_aux,num_root,num_compound,num_root_childs,num_S,num_VP,num_NP,num_PP,num_ADJP,num_ADVP
10001025,aleppo,Im Jahr 1986 erklärte die UNESCO:\newlineDie Altstadt von Aleppo gehört heute zum Weltkulturerbe.,12_long,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Im 1:=Jahr 2:=1986 3:=hat 4:=die 5:=UNESCO 6:=gesagt: 7:=\newline 8:=Die 9:=Alt-stadt 10:=von 11:=Aleppo 12:=ist 13:=jetzt 14:=Welt-kultur-erbe.,4,"[[0, 1, 2], [3, 5, 6], [9, 10, 11, 12, 14], [13]]",0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.78,0,4,14,2,1,0.7,66.74,0,0,0,(PP (APPRART Im) (NN Jahr) (CARD 1986)) (VVFIN erklärte) (ART die) (XY UNESCO:\newlineDie),0,1,Im Jahr 1986 erklärte die UNESCO:\newlineDie Altstadt von Aleppo gehört heute zum Weltkulturerbe.,6.466666666666667,3,3,0,0,0,0,0,0,1,1,0,0,0,1,6,5,0,0,0,1,0,0
10001032,aleppo,Die größte Stadt in Syrien ist Damaskus.,2_short,Städte|Seiten_mit_defekten_Dateilinks,2016-09-26T14:57:00Z,7b5adf57ed2178795004f4c052333f37,0:=Die 1:=größte 2:=Stadt 3:=in 4:=Syrien 5:=ist 6:=Damaskus.,3,"[[5, 6], [1], [3, 4]]",0,"[1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.57,0,3,8,0,1,1.0,115.13,1,1,0,(S (NP (ART Die) (ADJA größte) (NN Stadt) (PP (APPR in) (NE Syrien))) (VAFIN ist) (NE Damaskus)) ($. .),1,1,Die größte Stadt in Syrien ist Damaskus.,5.0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,3,1,0,1,1,0,0
10001054,alexander-graham-bell,"Er starb am 2. August 1922. \newline in Baddeck, Kanada.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,"0:=Er 1:=stirbt 2:=am 3:=2. 4:=August 5:=1922. 6:=\newline 7:=In 8:=Baddeck, 9:=Kanada.",3,"[[2, 3, 4, 5], [7, 8], [9]]",0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.9,0,5,12,1,1,1.0,83.32,0,0,0,(PPER Er) (VVFIN starb) (APPRART am) (ADJA 2.) (NN August) ($. 1922.),2,2,"Er starb am 2. August 1922. \newline in Baddeck, Kanada.",4.0,1,0,1,0,0,1,0,0,0,2,0,0,1,2,0,10,0,0,0,1,0,0
10001057,alexander-graham-bell,Bells Vater war Dozent für Vorlesungen und Reden.,5_long,Personen|Seiten_mit_defekten_Dateilinks,2022-03-03T19:51:00Z,28d34f2e053dee2c0e9399a7924cd978,0:=Der 1:=Vater 2:=von 3:=Bell 4:=war 5:=Professor 6:=für 7:=Rede-kunst 8:=und 9:=Vortrags-kunst.,3,"[[0, 1, 2, 3, 4], [6, 7], [6, 9]]",0,"[0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.62,0,6,9,0,1,1.0,80.28,1,1,1,(S (NP (NE Bells) (NN Vater)) (VAFIN war) (NP (NN Dozent) (PP (APPR für) (CNP (NN Vorlesungen) (KON und) (NN Reden))))) ($. .),3,1,Bells Vater war Dozent für Vorlesungen und Reden.,5.444444444444445,2,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,1,0,2,1,0,0
10001089,alexander-mitscherlich,"Er starb am 26. Juni 1982. \newline in Frankfurt am Main, Deutschland.",2_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-02-28T12:34:31Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:=26. 4:=Juni 5:=1982. 6:=\newline 7:=In 8:=Frankfurt 9:=am 10:=Main, 11:=Deutschland.",3,"[[2, 3, 4, 5], [7, 8, 9, 10], [7, 11]]",0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.25,0,7,14,1,1,1.0,90.77,0,0,0,(PPER Er) (VVFIN starb) (APPRART am) (ADJA 26.) (NN Juni) ($. 1982.),4,2,"Er starb am 26. Juni 1982. \newline in Frankfurt am Main, Deutschland.",4.375,1,0,1,0,0,1,0,0,0,2,0,0,2,3,0,12,0,0,0,1,0,0
10001096,alexander-mitscherlich,Er schrieb das Buch zusammen mit seiner Frau Margarete Mitscherlich.,6_short,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-02-28T12:34:31Z,e800bebc9060331edfac65e663a55570,0:=Das 1:=Buch 2:=hat 3:=er 4:=zusammen 5:=mit 6:=seiner 7:=Frau 8:=Margarete 9:=Mitscherlich 10:=geschrieben.,3,"[[1, 2, 10], [4, 5, 6, 7], [7, 8, 9]]",0,"[0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.4,0,9,11,1,1,1.0,78.25,1,0,1,(S (PPER Er) (VVFIN schrieb) (NP (ART das) (NN Buch)) (PP (ADV zusammen) (APPR mit) (PPOSAT seiner) (NN Frau) (PN (NE Margarete) (NE Mitscherlich)))) ($. .),5,1,Er schrieb das Buch zusammen mit seiner Frau Margarete Mitscherlich.,6.181818181818182,4,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,1,0,1,3,0,0
10001099,alexander-sergejewitsch-puschkin,"Er starb am 10. Februar 1837. \newline in St. Petersburg, Russland.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-02-23T15:16:44Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:= 4:=10. 5:=Februar 6:=1837. 7:=\newline 8:=In 9:=Sankt 10:=Petersburg, 11:=Russland.",3,"[[2, 3, 4, 5, 6], [8, 9, 10], [8, 11]]",0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0,0,6,13,1,1,1.0,74.35,0,0,0,(PPER Er) (VVFIN starb) (APPRART am) (ADJA 10.) (NN Februar) ($. 1837.),6,2,"Er starb am 10. Februar 1837. \newline in St. Petersburg, Russland.",4.466666666666667,2,0,1,0,0,1,0,0,0,2,0,0,1,3,1,11,0,0,0,1,0,0
10001103,alexander-sutherland-neill,"Er starb am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",2_long,Personen|Seiten_mit_defekten_Dateilinks,2022-02-28T11:47:20Z,e800bebc9060331edfac65e663a55570,"0:=Er 1:=stirbt 2:=am 3:=23. 4:=September 5:=1973. 6:=\newline 7:=In 8:=Aldeburgh, 9:=Suffolk, 10:=England.",3,"[[2, 3, 4, 5], [7, 8, 9], [7, 10]]",0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.09,0,5,14,1,1,0.87,74.35,0,0,0,(PPER Er) (VVFIN starb) (APPRART am) (ADJA 23.) (NN September) ($. 1973.),7,2,"Er starb am 23. September 1973. \newline In Aldeburgh, Suffolk, England.",4.5,1,0,1,0,0,1,0,0,0,2,0,0,1,3,0,11,0,0,0,1,0,0
10001117,alice-miller,"Sie starb am 14. April 2010. \newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",2_long,Ohne_Kategorie|Seiten_mit_defekten_Dateilinks,2022-03-02T14:11:08Z,e800bebc9060331edfac65e663a55570,"0:=Sie 1:=stirbt 2:=am 3:=14. 4:=April 5:=2010. 6:=\newline 7:=In 8:=Saint-Rémy-de-Provence, 9:=Provence-Alpes-Côte 10:=d'Azur, 11:=Frankreich.",4,"[[2, 3, 4, 5], [7, 8], [7, 9, 10], [7, 11]]",0,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.09,0,6,14,1,1,1.0,74.35,0,0,0,(PPER Sie) (VVFIN starb) (APPRART am) (ADJA 14.) (NN April) ($. 2010.),8,2,"Sie starb am 14. April 2010. \newline Saint-Rémy-de-Provence, Provence-Alpes-Côte d'Azur, Frankreich.",3.8846153846153846,4,0,0,0,0,0,0,0,0,2,0,0,1,3,4,10,0,0,0,1,0,0
10001184,allee,Eine lange Allee \newline hat auf beiden Seiten Bäume.,0_long,Ohne_Kategorie,2012-06-10T17:54:11Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=Allee 2:=ist 3:=lang 4:= 5:=\newline 6:=und 7:=hat 8:=rechts 9:=und 10:=links 11:=Bäume.,3,"[[2, 3], [7, 8, 11], [7, 10, 11]]",0,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.11,0,5,10,1,1,0.95,87.72,1,1,0,(S (NP (ART Eine) (ADJA lange) (NN Allee) (FM \newline)) (VAFIN hat) (PP (APPR auf) (PIAT beiden) (NN Seiten)) (NN Bäume)) ($. .),9,1,Eine lange Allee \newline hat auf beiden Seiten Bäume.,5.4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,8,6,1,0,1,1,0,0
