model,train_data,features,MAE,MSE,macroF1,weightedF1,accuracy
MLP,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.365,0.462,0.31,0.67,0.68
MLP,"['train', 'trial', 'augmented']","['bert', 'amr', 'additional', 'depTree']",0.389,0.457,0.317,0.65,0.644
SVM,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.305,0.387,0.28,0.69,0.733
Naive Bayes,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.416,0.55,0.267,0.633,0.644
dummy,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.483,0.733,0.153,0.475,0.62
Random Forest,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.279,0.337,0.314,0.716,0.748
Random Forest,"['train', 'trial', 'augmented']","['bert', 'amr', 'additional', 'depTree']",0.281,0.325,0.368,0.735,0.738
Random Forest,"['train', 'trial']",['bert'],0.481,0.683,0.25,0.575,0.606
Random Forest,"['train', 'trial']",['amr'],0.428,0.582,0.248,0.606,0.637
Random Forest,"['train', 'trial']",['depTree'],0.308,0.385,0.303,0.701,0.728
Random Forest,"['train', 'trial']",['additional'],0.296,0.344,0.345,0.706,0.726
Random Forest 5 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.308,0.365,0.367,0.71,0.719
Random Forest 15 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.274,0.308,0.369,0.727,0.743
Random Forest 25 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.286,0.339,0.341,0.719,0.738
Random Forest 35 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.267,0.315,0.35,0.736,0.755
Random Forest 45 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.291,0.353,0.342,0.716,0.738
Random Forest 55 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.281,0.339,0.326,0.72,0.745
Random Forest 65 most imp. feat. of each type,"['train', 'trial']","['bert', 'amr', 'additional', 'depTree']",0.293,0.351,0.337,0.71,0.733
