,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,english,amr,amr_prolog
0,0,0,0,0,989,alchemie,Eine sehr bekannte Alchemisten war Maria die Jüdin.,2_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Eine 1:=sehr 2:=bekannte 3:=Alchemisten 4:=war 5:=Maria 6:=die 7:=Jüdin.,1,,A very famous alchemist was Mary the Jewess.,"['# ::snt A very famous alchemist was Mary the Jewess.\n(a / alchemist\n      :domain (p / person\n            :name (n / name\n                  :op1 ""Mary""\n                  :op2 ""the""\n                  :op3 ""Jewess"")\n            :ARG1-of (f / fame-01\n                  :degree (v / very))))']","[a, attr-instance, alchemist, attr-domain, [p, attr-instance, person, attr-name, [n, attr-instance, name, attr-op1, ""mary"", attr-op2, ""the"", attr-op3, ""jewess""], attr-arg1_of, [f, attr-instance, fame_01, attr-degree, [v, attr-instance, very]]]]"
1,1,1,1,1,990,alchemie,Alchemisten wollen etwas ver-bessern.,3_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Alchemisten 1:=wollen 2:=etwas 3:=ver-bessern.,1,,Alchemists want to improve something.,['# ::snt Alchemists want to improve something.\n(w / want-01\n      :ARG0 (c / chemist)\n      :ARG1 (ii / improve-01\n            :ARG0chemist (s / something)))'],"[w, attr-instance, want_01, attr-arg0, [c, attr-instance, chemist], attr-arg1, [ii, attr-instance, improve_01, attr-arg0chemist, [s, attr-instance, something]]]"
2,2,2,2,2,991,alchemie,"Zum Beispiel, \newline wollen sie kranke Menschen gesund machen.",4_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Zum 1:=Beispiel, 2:=\newline 3:=wollen 4:=sie 5:=kranke 6:=Menschen 7:=gesund 8:=machen.",2,"[[3, 4], [5, 6, 7, 8]]","For example, \newline they want to make sick people healthy.","['# ::snt For example, \\newline they want to make sick people healthy.\n(e / exemplify-01\n      :ARG0 (w / want-01\n            :ARG0 (t / they)\n            :ARG1 (m / make-02\n                  :ARG0 t\n                  :ARG1 (h / healthy\n                        :domain (p / person\n                              :ARG1-of (s / sick-05))))))']","[e, attr-instance, exemplify_01, attr-arg0, [w, attr-instance, want_01, attr-arg0, [t, attr-instance, they], attr-arg1, [m, attr-instance, make_02, attr-arg0, t, attr-arg1, [h, attr-instance, healthy, attr-domain, [p, attr-instance, person, attr-arg1_of, [s, attr-instance, sick_05]]]]]]"
3,3,3,3,3,992,alchemie,Alchemisten haben Athanoren benutzt.,5_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Alchemisten 1:=haben 2:=Athanoren 3:=benutzt.,1,,Alchemists used athanors.,"['# ::snt Alchemists used athanors.\n(u / use-01\n      :ARG0 (c / chemist)\n      :ARG1 (p / product\n            :name (n / name\n                  :op1 ""Athanors"")))']","[u, attr-instance, use_01, attr-arg0, [c, attr-instance, chemist], attr-arg1, [p, attr-instance, product, attr-name, [n, attr-instance, name, attr-op1, ""athanors""]]]"
4,4,4,4,4,993,alchemie,Sue haben Schwarz-pulver erfunden.,6_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Sue 1:=haben 2:=Schwarz-pulver 3:=erfunden.,1,,Sue invented black powder.,"['# ::snt Sue invented black powder.\n(ii / invent-01\n      :ARG0 (p / person\n            :name (n / name\n                  :op1 ""Sue""))\n      :ARG1 (p2 / powder\n            :ARG1-of (b / black-04)))']","[ii, attr-instance, invent_01, attr-arg0, [p, attr-instance, person, attr-name, [n, attr-instance, name, attr-op1, ""sue""]], attr-arg1, [p2, attr-instance, powder, attr-arg1_of, [b, attr-instance, black_04]]]"
5,5,5,5,5,994,alchemie,Und sie haben Porzellan erfunden.,7_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Und 1:=sie 2:=haben 3:=Porzellan 4:=erfunden.,1,,And they invented porcelain.,"['# ::snt And they invented porcelain.\n(a / and\n      :op2 (ii / invent-01\n            :ARG0 (t / they)\n            :ARG1 (p / product\n                  :name (n / name\n                        :op1 ""porcelain""))))']","[a, attr-instance, and, attr-op2, [ii, attr-instance, invent_01, attr-arg0, [t, attr-instance, they], attr-arg1, [p, attr-instance, product, attr-name, [n, attr-instance, name, attr-op1, ""porcelain""]]]]"
6,6,6,6,6,995,alchemie,Alchemie ist ein arabisches Wort.,8_long,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Alchemie 1:=ist 2:=ein 3:=arabisches 4:=Wort.,1,,Alchemy is an Arabic word.,"['# ::snt Alchemy is an Arabic word.\n(w / word\n      :mod (l / language\n            :name (n / name\n                  :op1 ""Arabic""))\n      :domain (c / chemy))']","[w, attr-instance, word, attr-mod, [l, attr-instance, language, attr-name, [n, attr-instance, name, attr-op1, ""arabic""]], attr-domain, [c, attr-instance, chemy]]"
7,7,7,7,7,996,alchemie,Alchemie ist Chemie.,0_short,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Alchemie 1:=ist 2:=Chemie.,1,,Alchemy is chemistry.,['# ::snt Alchemy is chemistry.\n(c / chemistry\n      :domain (a / alchemy))'],"[c, attr-instance, chemistry, attr-domain, [a, attr-instance, alchemy]]"
8,8,8,8,8,997,alchemie,Es werden Versuche und Experimente gemacht.,1_short,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Es 1:=werden 2:=Versuche 3:=und 4:=Experimente 5:=gemacht.,2,"[[2], [4]]",Tests and experiments are carried out.,['# ::snt Tests and experiments are carried out.\n(c / carry-out-03\n      :ARG1 (a / and\n            :op1 (t / test-01)\n            :op2 (e / experiment-01)))'],"[c, attr-instance, carry_out_03, attr-arg1, [a, attr-instance, and, attr-op1, [t, attr-instance, test_01], attr-op2, [e, attr-instance, experiment_01]]]"
9,9,9,9,9,998,alchemie,Damit man versteht wie etwas funktioniert.,2_short,Wissenschaft|Seiten_mit_defekten_Dateilinks,2022-10-03T06:15:06Z,48f66906899cc4a9477b6c9e32ff4424,0:=Damit 1:=man 2:=versteht 3:=wie 4:=etwas 5:=funktioniert.,2,"[[0, 1, 2], [3, 4, 5]]",So that you understand how something works.,['# ::snt So that you understand how something works.\n(c / cause-01\n      :ARG1 (u / understand-01\n            :ARG0 (y / you)\n            :ARG1 (t / thing\n                  :manner-of (w / work-09\n                        :ARG1 (s / something)))))'],"[c, attr-instance, cause_01, attr-arg1, [u, attr-instance, understand_01, attr-arg0, [y, attr-instance, you], attr-arg1, [t, attr-instance, thing, attr-manner_of, [w, attr-instance, work_09, attr-arg1, [s, attr-instance, something]]]]]"
