UMAP0,UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,sent-id
8.9839945,6.590652,8.654438,8.796476,2.0968192,5.741418,4.664818,2.160756,-0.45127577,2.5554752,989
9.776816,8.42984,9.073223,9.052479,2.081128,6.757042,3.997951,-0.43538097,-0.53775537,0.8712332,990
9.763988,8.649684,8.865082,8.9815,1.6907415,7.2521725,3.9446409,-0.65104663,-0.6537078,0.76893187,991
9.464459,7.08488,9.111286,9.235461,1.3847449,5.702566,4.1132827,0.6806441,-0.26983932,1.6368482,992
9.340389,7.044401,8.957298,9.108234,1.5877212,5.793048,4.244425,1.0019494,-0.45558953,1.84887,993
9.389316,7.065492,9.05014,9.135443,1.5201908,5.7945147,4.182509,0.72825265,-0.44912043,1.5907423,994
9.739318,9.93156,8.069113,8.823725,4.101096,7.772822,4.585081,1.639356,0.15980357,3.1222887,995
9.722466,9.24128,8.376832,8.844746,2.9077039,7.5923543,4.4150705,0.72809035,-0.10980595,2.0773416,996
9.703928,8.746922,8.583221,8.846943,1.640394,7.36191,3.8316324,-0.077674136,-0.7774233,1.1589658,997
9.454249,8.970132,8.248929,8.636775,2.2320192,7.6746817,3.6847556,-0.31306976,-1.7516329,0.58492833,998
9.699734,8.420388,8.946852,9.054255,2.15545,6.8832345,4.1220226,-0.32130197,-0.47522372,1.010234,999
9.275156,8.334724,8.668971,8.391273,2.457222,7.893308,4.3672843,-0.7997164,-1.7362921,0.17725481,1000
9.260286,8.3092,8.661045,8.397565,2.4583533,7.8846483,4.3793607,-0.7996748,-1.763509,0.17022377,1001
9.891866,9.857745,8.275402,8.82653,3.0567222,7.0373507,3.308256,0.61938876,-1.6365166,1.5482938,1002
9.70482,9.476056,8.290801,8.712235,2.869426,7.2673216,3.6002207,0.22685051,-1.5741369,0.8514775,1003
9.985366,9.863752,8.333497,8.894099,2.6826422,7.107164,3.2444513,0.547937,-1.3815168,1.7585108,1004
10.023776,10.277522,8.178581,8.99792,3.3416388,7.119053,3.39045,0.8107246,-1.2290609,2.0889282,1005
10.02314,10.367527,8.170576,9.020444,3.4968405,7.1641293,3.4614966,0.7598962,-1.1866902,2.0009809,1006
7.1488547,3.6039586,8.266436,8.334347,1.569365,4.129413,6.1790633,3.8181736,0.9392759,3.1797462,1007
8.962327,6.584361,8.618514,8.783843,2.1524265,5.7683306,4.717747,2.238448,-0.4319943,2.6314406,1012
10.251977,8.649537,9.16628,9.288217,1.4167839,5.814017,3.6344662,1.2682158,0.60354775,2.4943187,1013
9.508004,7.196346,9.1014385,9.252729,1.3963599,5.762621,4.137022,0.67944044,-0.13744229,1.6479954,1014
