sent-id,topic,phrase,phrase_number,genre,timestamp,user,phrase_tokenized,num_statements,statement_spans,notes,english,amr,len_amr
1649,amtseid,Ein Amts-eid ist ein Eid.,0_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Amts-eid 2:=ist 3:=ein 4:=Eid.,1,,,An oath of office is an oath.,(o / oath :topic (o2 / office) :domain (o3 / oath)),1
1650,amtseid,Für einen Amts-eid gibt es Regeln.,1_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Für 1:=einen 2:=Amts-eid 3:=gibt 4:=es 5:=Regeln.,1,,,There are rules for taking an oath of office.,(r / rule-01 :ARG1 (t / take-01 :ARG1 (o / oath :topic (o2 / office)))),1
1651,amtseid,Oder es gibt Gesetze dafür.,2_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Oder 1:=es 2:=gibt 3:=Gesetze 4:=dafür.,1,,,Or there are laws for it.,(o / or :op2 (e / exist-01 :ARG1 (l / law) :purpose (ii / it))),1
1652,amtseid,"Darin steht,  was man beim Amts-eid sagen muss.",3_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Darin 1:=steht, 2:=\newline 3:=was 4:=man 5:=beim 6:=Amts-eid 7:=sagen 8:=muss.",2,"[[1],[3,4,5,6,7,8]]",,It says what you have to say when taking the oath of office.,(s / say-01 :ARG0 (ii / it) :ARG1 (t / thing :ARG1-of (s2 / say-01 :ARG0 (y / you) :ARG2-of (o / obligate-01 :ARG1 y) :time (t2 / take-01 :ARG0 y :ARG1 (o2 / oath :topic (o3 / office)))))),1
1653,amtseid,Und was man versprechen muss.,4_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Und 1:=was 2:=man 3:=versprechen 4:=muss.,1,,,And what you have to promise.,(a / and :op2 (t / thing :ARG1-of (p / promise-01 :ARG0 (y / you) :ARG2-of (o / obligate-01 :ARG1 y)))),1
1654,amtseid,Ein Amts-eid gibt es bei Religionen.,5_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Amts-eid 2:=gibt 3:=es 4:=bei 5:=Religionen.,1,,,Religions have an oath of office.,(h / have-03 :ARG0 (r / religion) :ARG1 (o / oath :topic (o2 / office))),1
1655,amtseid,Und in der Politik.,6_long,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Und 1:=in 2:=der 3:=Politik.,0,,,And in politics.,(a / and :op2 (p / politics)),1
1656,amtseid,Ein Amtseid ist eine Erklärung.,0_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Amtseid 2:=ist 3:=eine 4:=Erklärung.,1,,,An oath of office is a declaration.,(d / declare-02 :ARG2 (o / oath :topic (o2 / office))),1
1657,amtseid,Man verspricht etwas.,1_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Man 1:=verspricht 2:=etwas.,1,,,You promise something.,(p / promise-01 :ARG0 (y / you) :ARG2 (s / something)),1
1658,amtseid,Ein Versprechen bevor man etwas neues anfängt.,2_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Ein 1:=Versprechen 2:=bevor 3:=man 4:=etwas 5:=neues 6:=anfängt.,0,,,A promise before starting something new.,(p / promise-01 :time (b / before :op1 (s / start-01 :ARG1 (s2 / something :ARG1-of (n / new-01))))),1
1659,amtseid,Zum Beispiel einen neue Berufs-aufgabe.,3_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,0:=Zum 1:=Beispiel 2:=einen 3:=neue 4:=Berufs-aufgabe.,0,,,"For example, a new professional task.",(e / exemplify-01 :ARG0 (t / task :ARG1-of (n / new-01) :mod (p / professional))),1
1660,amtseid,"Man erklärt beim Amts-eid,  dass man alle Aufgaben gut erledigt.",4_short,Recht_und_Gesetz,2022-05-29T05:19:00Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Man 1:=erklärt 2:=beim 3:=Amts-eid, 4:=\newline 5:=dass 6:=man 7:=alle 8:=Aufgaben 9:=gut 10:=erledigt.",2,"[[0,1,2,3],[5,6,7,8,9,10]]",,"When you take the oath of office, you declare that you will complete all tasks well.",(d / declare-02 :ARG0 (y / you) :ARG1 (c / complete-01 :ARG0 y :ARG1 (t / task :mod (a / all)) :manner (w / well-09)) :time (t2 / take-01 :ARG0 y :ARG1 (o / oath :topic (o2 / office)))),1
1661,amtssprache,Die Amts-sprache wird benutzt: • um Bürger Fragen zu beantworten,0_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Die 1:=Amts-sprache 2:=wird 3:=benutzt: 4:=• 5:=um 6:=Bürger 7:=Fragen 8:=zu 9:=beantworten,2,"[[1,2,3],[5,6,7,8,9]]",,The official language is used: • to answer citizens' questions,(u / use-01 :ARG1 (l / language :mod (o / official)) :ARG2 (a / answer-01 :ARG1 (q / question-01 :ARG0 (c / citizen)))),1
1662,amtssprache,Die Amts-sprache wird benutzt: • in Besprechungen,1_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Die 1:=Amts-sprache 2:=wird 3:=benutzt: 4:=• 5:=in 6:=Besprechungen,1,,,The official language is used: • in meetings,(u / use-01 :ARG1 (l / language :mod (o / official)) :time (m / meet-03)),1
1663,amtssprache,Die Amts-sprache wird benutzt: • wichtige Regeln auf-zu-schreiben,2_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Die 1:=Amts-sprache 2:=wird 3:=benutzt: 4:=• 5:=wichtige 6:=Regeln 7:=auf-zu-schreiben,1,,,The official language is used: • to write down important rules,(u / use-01 :ARG1 (l / language :mod (o / official)) :ARG2 (w / write-01 :ARG1 (r / rule :ARG1-of (ii / important-01)) :ARG2 (d / down))),1
1664,amtssprache,In manchen Ländern gibt es verschiedene Amts-sprachen.,3_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=In 1:=manchen 2:=Ländern 3:=gibt 4:=es 5:=verschiedene 6:=Amts-sprachen.,2,"[[1],[5]]",,In some countries there are different official languages.,(d / differ-02 :ARG1 (l / language :mod (o / official)) :location (c / country :quant (s / some))),1
1665,amtssprache,In Deutschland gibt es eine Amts-sprache.,4_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=In 1:=Deutschland 2:=gibt 3:=es 4:=eine 5:=Amts-sprache.,1,,,There is an official language in Germany.,"(l / language :mod (o / official) :location (c / country :name (n / name :op1 ""Germany"")))",1
1666,amtssprache,Länder mit mehreren Amts-sprachen benutzten auch noch eine Arbeits-sprache.,5_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Länder 1:=mit 2:=mehreren 3:=Amts-sprachen 4:=benutzten 5:=auch 6:=noch 7:=eine 8:=Arbeits-sprache.,2,"[[1,2,3],[4,5,6,7,8]]",,Countries with several official languages ​​also use a working language.,(u / use-01 :ARG0 (c / country :prep-with (l / language :mod (o / official) :quant (s / several))) :ARG1 (l2 / language :ARG0-of (w / work-01)) :mod (a / also)),1
1667,amtssprache,Amts-sprachen und Arbeits-sprachen gibt es zum Beispiel bei den Vereinte Nationen.,6_long,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Amts-sprachen 1:=und 2:=Arbeits-sprachen 3:=gibt 4:=es 5:=zum 6:=Beispiel 7:=bei 8:=den 9:=Vereinte 10:=Nationen.,2,"[[0],[2]]",,"There are official languages ​​and working languages ​​at the United Nations, for example.","(e / exemplify-01 :ARG0 (a / and :op1 (l / language :mod (o / official)) :op2 (l2 / language :ARG0-of (w / work-01)) :location (o2 / organization :name (n / name :op1 ""United"" :op2 ""Nations""))))",1
1668,amtssprache,Eine Amtssprache ist eine Sprache.,0_short,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=Amtssprache 2:=ist 3:=eine 4:=Sprache.,1,,,An official language is a language.,(l / language :domain (l2 / language :mod (o / official))),1
1669,amtssprache,Diese Sprache wird in einem Land gesprochen.,1_short,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Diese 1:=Sprache 2:=wird 3:=in 4:=einem 5:=Land 6:=gesprochen.,1,,,This language is spoken in one country.,(s / speak-01 :ARG3 (l / language :mod (t / this)) :location (c / country :quant 1)),1
1670,amtssprache,Die Sprache wird bei Behörden benutzt.,2_short,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Die 1:=Sprache 2:=wird 3:=bei 4:=Behörden 5:=benutzt.,1,,,The language is used by authorities.,(u / use-01 :ARG0 (a / authority) :ARG1 (l / language)),1
1671,amtssprache,Und sie wird von Politiker gesprochen.,3_short,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Und 1:=sie 2:=wird 3:=von 4:=Politiker 5:=gesprochen.,1,,,And it is spoken by politicians.,(a / and :op2 (s / speak-01 :ARG0 (p / politician) :ARG1 (ii / it))),1
1672,amtssprache,Eine Amts-sprache ist oft schwierig zu verstehen.,4_short,Sprache|Öffentliche_Verwaltung|Seiten_mit_defekten_Dateilinks,2015-07-21T11:36:14Z,eaab3232dd7a824a6a774fd2f2814e47,0:=Eine 1:=Amts-sprache 2:=ist 3:=oft 4:=schwierig 5:=zu 6:=verstehen.,1,,,An official language is often difficult to understand.,(d / difficult :domain (u / understand-01 :ARG1 (l / language :mod (o / official))) :frequency (o2 / often)),1
1673,amtszeit,"Wenn eine Amts-zeit fertig ist,  muss jemand neues das Amt machen.",0_long,Politik|Seiten_mit_defekten_Dateilinks,2021-08-04T05:14:14Z,0061a5419063d58697cea347295a4554,"0:=Wenn 1:=eine 2:=Amts-zeit 3:=fertig 4:=ist, 5:=\newline 6:=muss 7:=jemand 8:=neues 9:=das 10:=Amt 11:=machen.",2,"[[0,2,3,4],[6,7,8,10,11]]",,"When a term is over, someone new has to take over.",(o / obligate-01 :ARG2 (t / take-over-12 :ARG0 (s / someone :ARG1-of (n / new-02))) :time (o2 / over-01 :ARG1 (t2 / term))),1
1674,amtszeit,Eine Amts-zeit ist eine Zeit.,0_short,Politik|Seiten_mit_defekten_Dateilinks,2021-08-04T05:14:14Z,0061a5419063d58697cea347295a4554,0:=Eine 1:=Amts-zeit 2:=ist 3:=eine 4:=Zeit.,1,,,A term of office is a time.,(t / term :mod (o / office) :domain (t2 / time)),1
1675,amtszeit,Die Zeit in der jemand ein Amt hat.,1_short,Politik|Seiten_mit_defekten_Dateilinks,2021-08-04T05:14:14Z,0061a5419063d58697cea347295a4554,0:=Die 1:=Zeit 2:=in 3:=der 4:=jemand 5:=ein 6:=Amt 7:=hat.,1,,,The time in which someone holds office.,(t / time :time-of (h / hold-01 :ARG0 (s / someone) :ARG1 (o / office))),1
1676,amtszeit,Zum Beispiel die Amts-zeit für den Bundes-kanzler.,2_short,Politik|Seiten_mit_defekten_Dateilinks,2021-08-04T05:14:14Z,0061a5419063d58697cea347295a4554,0:=Zum 1:=Beispiel 2:=die 3:=Amts-zeit 4:=für 5:=den 6:=Bundes-kanzler.,0,,,"For example, the term of office for the Federal Chancellor.",(e / exemplify-01 :ARG0 (t / term :mod (o / office) :poss (p / person :ARG0-of (h / have-org-role-91 :ARG2 (c / chancellor)) :mod (f / federal)))),1
1677,amtszeit,Diese Amts-zeit dauert 4 Jahre.,3_short,Politik|Seiten_mit_defekten_Dateilinks,2021-08-04T05:14:14Z,0061a5419063d58697cea347295a4554,0:=Diese 1:=Amts-zeit 2:=dauert 3:=4 4:=Jahre.,1,,,This term of office lasts 4 years.,(l / last-01 :ARG1 (t / term :mod (o / office) :mod (t2 / this)) :ARG2 (t3 / temporal-quantity :quant 4 :unit (y / year))),1
1678,an-12-unfall-in-juba,"Manche sagen, der Flug des Flugzeuges hätte verboten werden sollen.",0_long,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks,2015-11-07T08:34:15Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Manche 1:=sagen, 2:=der 3:=Flug 4:=des 5:=Flugzeuges 6:=hätte 7:=verboten 8:=werden 9:=sollen.",2,"[[6,7,8,9],[5]]",,Some say the plane should have been banned from flying.,(s / say-01 :ARG0 (s2 / some) :ARG1 (r / recommend-01 :ARG1 (b / ban-01 :ARG1 (f / fly-01 :ARG1 (p / plane))))),1
1679,an-12-unfall-in-juba,Das Flugzeug hätte nicht fliegen dürfen.,1_long,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks,2015-11-07T08:34:15Z,48f66906899cc4a9477b6c9e32ff4424,0:=Das 1:=Flugzeug 2:=hätte 3:=nicht 4:=fliegen 5:=dürfen.,1,,,The plane should not have flown.,(r / recommend-01 :ARG1 (f / fly-01 :polarity - :ARG2 (p / plane))),1
1680,an-12-unfall-in-juba,"Manche sagen, das Flugzeug hat technische Fehler.",2_long,Ohne_Kategorie|Hurraki:Überarbeiten|Aus_den_Nachrichten|Seiten_mit_defekten_Dateilinks,2015-11-07T08:34:15Z,48f66906899cc4a9477b6c9e32ff4424,"0:=Manche 1:=sagen, 2:=das 3:=Flugzeug 4:=hat 5:=technische 6:=Fehler.",1,,,Some say the plane has technical faults.,(s / say-01 :ARG0 (s2 / some) :ARG1 (f / fault-02 :ARG1 (p / plane) :mod (t / technical))),1
