sent-id,num_statements
9933,1
27253,1
27343,2
27156,1
42358,1
27198,2
1916,2
29274,1
26916,1
26970,1
9935,1
9761,1
42127,1
1491,1
1022,2
1167,2
29697,3
9872,2
9873,2
29677,2
29425,1
10032,2
1789,4
29380,2
27174,1
12546,1
1861,3
9948,2
1064,1
29295,1
1651,1
12095,1
29484,2
12198,3
27029,1
27196,1
12382,1
29391,2
12437,2
12151,1
27214,1
1028,1
12414,2
10106,1
1880,1
27152,1
12258,2
27073,2
1142,1
1760,1
29660,1
1378,1
29262,1
1867,1
42136,1
12421,2
12379,1
42093,1
9932,1
29513,1
12324,2
29716,1
1451,1
29488,1
27002,2
9765,1
2056,1
1079,2
2137,1
42098,1
29457,1
12220,1
12110,2
1042,1
42311,1
1881,1
9756,1
1736,1
10003,2
1191,1
42285,1
12117,1
27332,3
2091,1
29306,2
1783,1
29463,2
12549,1
42181,3
27258,1
12091,1
9814,3
1319,1
12440,2
29420,1
42230,1
10061,3
12188,1
29617,1
12375,2
1405,1
9788,2
12419,1
1791,2
27317,2
29642,1
26919,2
26915,1
9679,1
12342,2
2055,2
12513,1
10128,1
9757,1
42284,2
9964,1
1930,2
42132,1
27237,2
27117,1
26901,1
1796,2
42222,2
9920,1
12446,2
29720,1
12230,4
2031,2
1392,1
12132,3
42346,1
29589,1
1020,2
29430,2
42369,1
9675,2
2021,1
27144,2
42142,1
29565,3
12255,2
9726,3
26881,1
1099,3
1473,1
29319,1
9704,4
10024,4
29530,1
12208,1
29350,1
9725,1
12536,1
10141,2
10114,1
12183,1
29538,1
29338,2
1675,1
42225,1
42412,1
42291,1
2003,1
12338,1
12321,1
29700,2
42370,2
27308,1
42470,1
1203,1
1936,1
1493,2
42255,1
26988,1
12098,2
12290,2
1694,2
42359,1
29721,1
27063,2
1667,2
1228,1
12156,2
42134,1
9825,1
12391,1
27049,1
10134,2
1888,3
2004,2
1945,3
12185,1
12574,1
1436,4
29605,2
42231,1
10087,1
27031,2
42489,1
27263,2
1018,1
12544,1
1148,1
9952,2
42307,1
2039,2
27206,2
27041,1
42351,1
27325,2
9664,1
29331,1
29317,1
12420,1
26900,1
42194,1
1707,1
3010,1
42497,2
1343,1
42496,1
1654,1
29525,1
12487,1
10111,2
9898,1
29507,1
27310,2
29439,1
27192,2
29426,2
9783,1
1399,1
26905,1
42204,1
1122,2
29475,2
29395,2
12505,1
12408,1
1679,1
27194,3
26875,1
42186,1
29672,2
29247,1
2121,3
2145,1
1856,1
12199,2
42438,3
27114,1
12207,2
1857,1
2025,2
27084,1
9772,3
1681,1
1086,1
12287,1
1428,1
29465,1
9742,3
1469,2
42183,3
29359,2
27295,1
10130,1
12351,1
29234,3
1063,1
42023,1
27060,1
1755,1
29665,2
12305,1
9734,1
1993,1
26984,1
29230,1
29370,2
1684,3
10080,1
9768,1
42006,2
1296,1
29467,1
1054,3
12506,1
10052,1
1000,1
12424,3
9744,1
1764,1
29644,2
42342,1
1439,1
27218,1
12443,2
29435,1
29456,2
1471,1
9851,1
29688,1
2024,1
1649,1
29290,2
42275,1
42479,1
42146,1
1434,1
1849,3
29528,1
42498,2
12182,1
4790,1
12236,3
9683,1
9967,1
1271,2
27347,1
27352,2
29452,2
1671,1
1087,1
1672,1
10000,2
29462,3
29313,2
2075,1
12224,2
995,1
990,1
9915,3
1349,1
26953,2
1700,2
9966,2
1480,1
42279,3
12135,1
42264,2
1383,1
9903,2
27202,1
27042,1
42266,1
12348,2
12072,1
29685,1
29544,3
27153,1
1104,1
10144,1
1840,1
2102,1
29347,1
27085,2
42150,2
12266,3
12460,1
29686,1
29501,4
1055,1
42130,1
27064,1
1026,1
29696,2
26971,2
1424,1
10033,2
9891,2
27065,2
2072,1
1987,1
1769,1
26983,1
2062,1
12325,1
42203,1
1490,3
27250,1
42111,1
29606,1
29403,1
12102,3
1083,1
2107,2
12357,1
991,2
2109,1
42025,1
2146,4
29572,1
9758,1
3009,1
12303,1
27315,2
1982,2
42047,2
29423,1
29245,1
2116,2
1137,1
1915,1
1339,1
9755,1
1995,1
1875,1
10132,1
2114,2
42153,1
42223,1
42450,1
29666,1
2105,2
29647,1
26911,1
26986,1
2032,3
27089,2
10133,3
12397,1
12326,1
12278,1
42329,1
1885,1
1358,1
42471,1
27012,1
1682,1
27234,1
2002,2
1336,2
9941,2
2023,1
42011,2
12371,3
26863,1
9994,3
11530,1
9973,1
12459,1
9792,1
12543,1
1162,1
42292,1
42035,2
42262,1
1093,1
29217,1
27162,2
42302,2
1466,1
29286,2
1006,1
27189,2
27137,1
9857,1
12509,2
29422,1
1033,1
42087,1
27298,1
5067,1
2035,1
12393,2
1239,1
1732,1
29442,1
29623,2
29260,1
27027,1
1766,1
42321,1
1059,1
10166,1
1181,2
10107,1
26930,1
12336,2
42407,1
12297,1
42086,2
9696,1
9760,1
12367,1
27229,2
1801,2
2152,2
1662,1
9733,1
12494,3
1829,1
9879,1
12240,2
26860,1
1293,2
12227,2
1030,2
1038,1
42123,1
9672,1
42077,1
27054,2
9927,2
27018,2
9859,1
9884,1
9906,1
2045,3
42051,2
12134,1
1025,4
12178,1
1974,3
26979,1
27329,1
12260,2
2082,1
2018,1
42452,1
29414,1
42350,1
12517,1
29240,1
42390,1
29248,2
42487,2
42115,1
12273,1
42252,1
29455,3
27098,2
12542,2
12147,2
1061,1
9797,1
2020,2
1050,1
9741,3
29365,1
42017,2
27215,2
42083,2
9705,2
27309,2
1449,2
27067,1
1846,1
42003,1
1872,2
10145,2
9752,2
1719,1
2026,3
1386,1
10040,2
12501,1
29536,1
12468,1
12320,1
12370,3
27335,1
1231,2
2110,2
1112,1
1492,3
9951,2
42085,1
1800,1
9774,1
12304,1
1344,1
12556,1
29621,1
29550,1
29288,1
1742,1
1371,2
26959,2
1758,1
1901,3
27306,1
29698,3
9993,3
12523,2
42393,1
27223,4
1690,2
27279,1
2070,2
1429,1
12386,1
1890,1
26996,1
1194,1
26958,2
1354,2
2126,1
48592,1
1910,2
29551,1
42465,2
1738,1
27222,2
2036,2
29468,2
42239,1
1226,1
12115,2
29254,1
42053,2
42001,1
29377,1
10124,1
1046,1
29682,1
1882,1
42128,1
1089,3
9985,2
27195,1
12328,2
29691,1
42206,1
12387,1
29299,2
12228,2
1085,1
10046,3
12283,2
29351,2
10069,1
12439,2
29412,1
1041,1
1673,2
2151,1
12458,1
9858,2
12160,1
29314,1
12293,1
1141,1
1767,3
10025,2
27024,1
29255,1
27320,1
26907,1
12244,1
1855,2
26910,2
27209,1
27177,2
1277,2
27300,1
10156,2
10165,1
2104,1
1964,2
1123,1
2066,2
2058,3
9881,1
9971,2
26885,2
12129,2
12139,1
10147,1
9847,2
2019,1
1215,2
27238,1
12284,2
26974,1
1357,1
2077,1
9944,1
12496,3
29615,1
42200,2
9868,2
29308,2
42224,2
29302,2
42020,1
26981,1
1369,1
26887,1
29424,2
27302,1
42431,2
1954,2
29663,1
27262,2
1153,1
42027,1
12461,1
27062,2
29453,3
1704,1
1414,1
29510,3
27039,1
1302,1
12166,1
42435,1
42376,2
42323,1
26882,1
9942,3
1938,2
10129,1
29239,2
29431,1
1851,2
29263,1
12525,1
27303,2
29362,3
12470,1
29490,1
2139,3
40092,1
12254,1
29519,1
29397,1
27014,2
10082,1
1969,2
1017,1
29394,1
27078,1
1182,2
29315,2
1205,1
1133,1
1016,2
1076,2
27247,1
12214,2
12423,1
26862,1
2115,1
1664,2
9980,1
1108,1
10869,2
10155,2
29485,1
1096,3
12189,2
42034,1
1947,1
12557,1
29417,2
29639,2
27045,1
29429,2
12141,1
9842,2
12469,1
42117,1
2093,2
1831,1
26966,1
42277,1
1229,2
10135,1
29506,2
29445,1
12398,1
1056,1
42198,2
42440,1
12350,2
29497,1
27016,1
12541,2
29447,2
1160,2
42476,2
1314,2
1944,1
2140,1
1815,1
29491,2
12503,1
1135,1
9740,3
9946,1
42242,2
29243,1
9670,1
1699,2
29238,1
26865,1
1753,1
42202,1
42495,1
42268,1
42395,2
1287,2
26899,1
12417,1
27288,1
1291,1
9989,1
42340,1
9992,1
9749,1
1909,1
10150,4
12374,1
29256,1
42208,4
12097,2
1318,1
12246,1
29342,1
42088,1
9804,1
26898,1
29266,1
5035,2
2010,2
1375,2
12165,1
27280,2
29279,1
12222,1
42420,1
42330,1
27142,2
1432,1
12555,1
12512,1
26914,1
10089,1
998,2
1714,2
1216,2
12545,1
1091,1
2079,3
29229,1
12089,1
10091,1
2117,1
9790,4
10004,2
27034,1
12168,1
12530,3
9663,2
10009,2
1472,1
10059,1
1761,3
42475,2
26868,1
1927,1
42065,1
42439,1
12552,1
1940,2
1179,1
1680,1
1333,1
42383,1
2106,5
27125,2
12511,1
9890,1
1718,1
27249,1
1440,2
29719,1
1691,1
27252,1
42263,1
12268,1
9862,1
42145,1
27264,1
42096,2
12257,2
12092,3
9986,1
12318,2
1986,1
2134,2
12116,2
12177,3
27278,1
5049,2
27159,1
1052,1
1103,3
12332,1
9796,1
9988,1
2095,3
1131,2
1933,3
42076,1
42253,1
29673,2
29699,2
1845,1
1140,1
42430,1
12560,4
29611,1
1272,1
1275,1
27239,1
1795,2
27203,1
27068,1
12538,1
42104,1
10034,1
29437,1
12463,1
12217,1
12427,1
29568,1
42094,1
29451,1
9674,4
42499,1
27102,1
29581,3
42356,2
10119,1
9893,1
29526,2
9880,2
12101,1
27260,2
42067,1
2141,1
29614,1
12518,2
29253,2
26921,2
29369,2
27236,2
27281,2
29610,2
42166,1
29498,1
1770,3
1702,2
9844,1
29583,1
27178,2
12190,1
1234,2
29632,2
29432,2
26883,3
10109,1
12520,1
12453,1
12202,2
1097,1
29440,2
27127,2
27047,1
9668,1
42258,1
42078,2
27119,2
12300,1
27187,2
42401,1
26944,2
1487,1
29236,2
42473,2
1990,1
2012,1
42288,1
1408,1
42408,2
12395,1
12206,2
29246,1
9775,2
1470,2
1073,2
9686,2
29458,3
42043,1
12465,1
42433,1
12291,1
26973,2
10014,1
29340,1
29378,1
12271,3
1438,2
26926,1
1821,3
10140,3
29459,2
1897,1
42459,2
1448,1
12378,1
10112,1
1970,2
1101,1
10138,2
29250,2
12567,1
29521,1
9713,1
42328,1
1208,3
42413,1
10060,1
1957,1
12364,1
27147,1
12171,1
29534,2
1484,2
1961,2
29620,2
29676,5
27160,2
29718,2
29307,1
42301,1
29715,1
1965,1
12410,1
10117,1
1494,1
1217,2
10044,3
1340,3
1786,4
42036,2
1976,1
12149,1
27038,2
1362,2
29495,2
27184,1
2009,1
2081,2
9976,2
9720,1
12442,1
27157,1
9738,1
29336,2
29496,1
12204,4
12473,1
9943,3
1735,1
1372,2
12490,3
42493,1
12136,1
42175,1
29249,2
42037,1
42443,1
1423,1
1730,1
9832,1
1677,1
1959,1
42241,1
10116,1
42119,1
27188,1
42387,2
1325,2
26855,1
42402,1
29514,1
9803,2
9691,2
9695,1
29564,2
1485,3
27072,2
29494,1
1185,2
27107,1
9925,1
42282,1
12080,1
42005,1
1019,1
1955,2
29645,2
1465,1
29573,1
1206,2
12159,1
2046,1
1379,2
9836,2
42244,2
9874,1
12213,1
26994,2
26880,1
12143,1
12212,2
2112,2
12497,2
26995,1
42196,1
27241,2
1243,1
1363,2
1666,2
2142,1
29339,2
42095,1
1080,2
12232,1
29470,1
26969,2
27255,3
26934,2
9782,3
29251,1
9896,1
42348,1
26933,3
9689,1
27245,1
2144,2
10120,4
9703,1
12383,1
29460,1
9855,2
42415,4
26993,2
27266,2
27079,1
1207,1
12275,1
9779,2
26946,1
10077,3
26967,2
9818,2
12402,1
26936,1
9441,1
1144,1
10026,1
42178,1
27000,2
29231,1
1870,1
9673,1
10162,1
12529,1
10122,2
42357,1
29657,1
27092,1
1678,2
12174,2
29522,2
42306,3
9817,3
29558,1
2119,2
27212,2
12111,3
12508,1
12484,2
1196,2
2143,1
12366,2
9812,2
1960,1
12394,1
42494,1
26904,1
12094,1
26923,2
42232,1
1781,1
1024,2
1400,1
42167,1
1722,1
12537,1
10158,1
2155,1
1779,2
29509,1
27080,1
29352,3
1739,2
27075,2
29222,2
1948,2
2029,1
1312,1
42071,1
9784,1
1005,2
2063,1
9719,1
1902,1
2065,1
9789,3
27224,2
27017,1
9892,1
1661,2
29337,3
1121,1
1816,1
27128,2
2131,2
29450,2
10136,3
29396,1
29635,1
9921,1
1233,1
1876,1
1351,1
9995,1
1788,5
10096,1
29533,2
1474,1
1127,2
29441,2
27087,2
1689,2
1790,4
12145,3
12090,1
9712,1
10131,2
29713,1
27146,2
9820,1
9887,1
29652,1
1863,1
9867,2
12425,1
12430,1
1219,2
1841,3
42503,1
12127,1
9776,1
42256,1
1065,2
10118,1
42235,1
12445,2
12399,2
10090,1
12433,1
9897,3
27155,2
1476,2
1456,1
27231,3
42444,1
26884,1
27158,1
1368,2
42463,3
29689,1
27180,1
10011,2
2076,3
12533,1
42327,1
27109,2
12223,1
1450,1
12562,1
27199,2
26962,1
12263,1
29382,2
1040,1
27015,1
29669,1
27345,1
9839,1
12570,1
1389,2
12074,1
1711,1
29360,1
29690,2
12412,1
29542,1
27235,1
27130,1
42024,1
42221,1
1370,1
27336,1
27327,1
27011,1
12573,1
29392,1
26872,2
9998,2
12502,1
1184,3
1750,1
13118,1
29333,3
42046,1
9735,1
29372,1
27088,1
26928,1
42490,1
1962,2
26869,2
12353,2
29235,2
27165,1
12239,2
26871,1
9766,3
12235,2
9833,1
2128,1
42013,2
1814,1
1780,1
9968,2
29585,1
27210,1
1653,1
2118,2
1811,2
42353,1
12515,2
2054,2
42149,1
1727,1
12285,1
27328,2
12347,2
42276,1
9793,4
29487,3
12381,1
2153,1
29661,1
12409,2
1929,1
1278,1
42092,1
12234,1
29680,2
29567,1
1001,1
12317,1
26917,1
12138,1
1391,2
10019,1
42212,1
1193,1
1853,1
1211,2
29566,1
12572,1
20010,1
1057,3
29408,2
29516,3
1047,1
1068,1
9787,3
1154,1
1201,1
27173,1
1007,1
27272,2
9856,3
1984,1
1111,1
12103,1
2138,2
1366,1
1966,4
29269,1
10105,1
12219,1
1733,1
26941,1
26924,2
27227,2
42018,1
1327,1
9731,1
29361,1
2042,3
42121,1
29232,1
12161,2
29466,2
1164,1
29366,4
1825,1
1777,2
42031,2
1468,1
9729,1
9853,3
29411,2
26858,1
9780,3
10126,1
5002,1
1693,1
42254,1
42177,1
9819,3
1919,1
12180,2
42474,2
27292,2
1695,1
42079,1
29410,1
1823,2
1772,2
42294,1
29323,1
42480,1
29265,2
27001,1
2011,2
27232,1
29283,1
1426,2
42082,1
1453,1
2150,2
12152,1
27115,1
1345,3
10085,1
29607,1
1650,1
42451,3
1445,1
994,1
42437,1
12441,1
26867,2
42360,1
27022,3
26925,3
1283,1
42165,2
9905,1
1394,1
26857,2
29633,2
1712,1
1482,2
1049,2
29413,2
1012,1
1968,3
9852,2
9810,1
42304,1
1999,1
29335,2
42160,1
27111,1
