sent-id,regression,SVM,MLP,RF,all_true,all_false,one_true
9916,1,4,1,1,False,False,False
26916,2,2,1,3,False,False,True
1959,1,5,1,1,False,False,False
27022,3,2,1,2,False,False,True
1205,2,5,1,1,False,False,False
1721,1,5,1,2,False,False,True
1462,2,5,1,1,False,False,False
26872,2,2,1,1,False,False,False
29457,1,2,1,1,False,False,False
2027,2,5,1,2,False,False,False
1844,1,5,1,1,False,False,False
12191,2,4,1,1,False,False,True
9964,1,4,1,2,False,False,False
1937,1,5,1,1,False,False,False
27051,2,2,1,1,False,False,False
1813,1,5,1,1,False,False,False
1664,1,5,1,1,False,True,False
42221,1,1,1,1,True,False,False
9821,1,4,1,1,False,False,False
1406,1,5,1,1,False,False,False
1488,4,5,1,2,False,False,True
27024,1,2,1,1,False,False,False
10135,1,4,1,1,False,False,False
12480,3,4,1,3,False,True,False
1136,2,5,1,1,False,False,True
29630,1,2,1,1,False,False,False
9997,1,4,1,1,False,True,False
9862,2,4,1,2,False,False,True
9980,1,4,1,1,False,False,False
27010,1,2,1,1,False,False,False
29427,1,2,1,1,False,False,False
42266,1,1,1,1,True,False,False
42143,1,1,1,1,True,False,False
1142,1,5,1,1,False,False,False
10132,1,4,1,1,False,False,False
1378,1,5,1,1,False,False,False
1966,3,5,1,2,False,True,False
9965,2,4,1,2,False,True,False
29255,1,2,1,1,False,False,False
1675,1,5,1,1,False,False,False
5067,1,4,1,1,False,False,False
12353,2,4,1,2,False,False,False
1049,2,5,1,2,False,False,False
9742,3,4,1,2,False,False,True
27068,1,2,1,1,False,False,False
27307,1,2,1,1,False,False,False
12429,1,4,1,1,False,True,False
12204,5,4,1,3,False,False,True
42187,1,1,1,1,True,False,False
10137,1,4,1,1,False,True,False
2131,2,5,1,2,False,False,False
12422,3,4,1,2,False,False,True
1472,1,5,1,1,False,False,False
42086,1,1,1,1,False,True,False
29541,1,2,1,1,False,False,False
42102,1,1,1,1,True,False,False
12167,1,4,1,1,False,False,False
2067,1,5,1,2,False,False,True
